.abdn.,.aber.,.abertay-dundee.,.anglia.,.aston.,.bangor.,.bath.,.bbk.,.bham.,.bournemouth.,.brad.,.bris.,.brunel.,.bton.,.cam.,.cf.,.courtauld.,.coventry.,.cranfield.,.derby.,.dmu.,.dundee.,.dur.,.ed.,.essex.,.ex.,.gcal.,.glam.,.glasgow.,.goldsmiths.,.gre.,.herts.,.heythrop.,.hud.,.hw.,.kcl.,.keele.,.kingston.,.lamp.,.lancs.,.lboro.,.lbs.,.le.,.leeds.,.livjm.,.lmu.,.lse.,.lshtm.,.luton.,.man.,.mbs.,.mcc.,.mdx.,.mmu.,.napier.,.ncl.,.newport.,.nott.,.ntu.,.ox.,.paisley.,.plymouth.,.port.,.qmw.,.qub.,.rcm.,.rdg.,.rgu.,.salford.,.sas.,.shef.,.soas.,.soton.,.ssees.,.st-and.,.staffs.,.stir.,.strath.,.sunderland.,.surrey.,.susx.,.swan.,.tees.,.tvu.,.uce.,.ucl.,.uclan.,.uea.,.uel.,.ukc.,.ulh.,.ulst.,.umds.,.umist.,.unl.,.unn.,.uwcm.,.uwe.,.uwic.,.warwick.,.wlv.,.wmin.,.york.
15,131,1,9,2,6,25,11,168,5,6,51,20,3,128,89,0,3,9,1,10,69,35,4287,16,2157,10,3,2,0,84,5,0,8,289,14,15,1,4,15,4,1,1531,42,5,9,117,0,1,560,5,20,0,15,12,44,0,17,29,152,8,4,157,14,27,3,15,73,5,24,276,1,38,0,36,4,29,34,6,11,5,18,1,0,9,99,1,18,37,43,2,5,2,2,34,13,9,18,0,38,20,5,35
28,74,0,8,7,72,65,13,31,15,36,43,15,2,164,873,1,1,7,17,19,7,41,5837,18,3179,2,9,7,0,150,12,0,3,104,14,10,1,37,43,32,4,2649,135,24,12,95,1,11,393,23,33,10,116,29,26,8,31,46,183,2,0,218,12,15,3,28,9,26,39,77,1,52,0,8,4,15,27,7,16,22,72,4,8,9,141,8,33,23,39,2,26,1,4,23,29,6,114,5,48,29,27,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,8,0,6,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
5,7,0,21,14,2,15,0,13,5,9,14,6,3,523,44,1,2,9,8,15,4,11,1446,35,908,1,0,0,0,20,3,0,9,100,8,2,1,0,13,4,4,3247,42,4,6,12,0,5,296,15,16,0,13,4,30,0,2,20,74,0,0,106,2,9,2,3,8,17,16,34,1,28,0,1,4,5,5,2,25,6,6,1,3,14,26,1,30,15,16,0,6,0,6,12,15,5,21,0,24,12,6,19
5,13,0,6,22,6,20,10,163,2,10,21,7,4,116,65,0,8,2,2,10,3,10,2413,24,1401,4,1,2,0,40,0,0,3,82,14,12,3,3,15,6,2,1450,33,7,5,36,0,0,358,9,19,1,19,1,54,1,22,26,148,0,0,150,18,9,2,11,9,7,24,27,1,26,0,4,3,15,10,6,14,5,8,8,1,11,72,1,18,9,15,2,11,2,12,23,54,1,6,0,40,10,1,32
10,14,0,2,3,44,16,2,19,0,4,17,2,0,77,36,0,1,18,5,4,2,18,1292,12,1008,1,5,0,0,33,2,0,1,51,10,2,9,31,14,4,2,863,25,1,2,38,0,1,137,6,2,1,4,2,17,3,16,26,61,1,2,115,8,12,1,5,10,0,13,24,0,53,0,23,2,5,4,1,4,7,19,2,1,1,35,2,10,9,9,4,9,1,5,10,11,5,3,5,13,10,5,20
12,24,0,11,29,4,192,6,38,7,13,197,23,5,424,150,1,6,25,10,11,18,44,3479,44,2822,1,2,4,0,131,11,0,6,122,18,9,3,5,35,45,1,2566,96,5,7,72,1,1,471,25,45,6,45,3,54,0,70,53,310,0,2,415,18,17,2,19,11,6,57,66,1,120,0,34,2,7,26,8,50,14,22,0,19,18,112,1,48,64,39,3,6,0,33,32,33,3,89,3,57,23,0,69
9,19,0,5,4,4,37,4,19,1,11,51,4,5,401,69,6,2,5,4,10,7,33,4197,21,1667,1,0,5,2,45,4,0,12,124,22,3,3,0,14,6,6,1779,120,0,3,121,10,0,511,12,28,3,27,0,44,0,43,16,337,0,0,142,17,21,0,16,14,5,161,39,24,35,4,56,0,8,67,1,9,19,6,2,0,2,573,2,13,26,11,0,4,1,9,18,7,3,7,0,36,7,3,115
52,38,0,19,88,27,74,16,161,8,33,92,34,9,443,199,0,7,5,8,26,34,61,6703,33,3415,3,5,4,0,138,6,0,14,367,28,37,5,6,97,17,6,3629,136,17,11,148,1,5,690,14,61,6,91,55,129,2,122,51,361,1,2,338,64,37,2,41,13,6,43,147,3,188,7,57,14,12,27,6,63,93,26,1,0,22,237,1,57,47,33,3,14,41,48,22,32,11,78,0,127,46,12,91
7,14,0,3,2,3,10,3,22,157,9,27,3,5,55,70,0,0,9,1,5,13,14,996,6,901,0,1,1,0,35,2,0,1,46,5,2,7,3,3,5,4,847,9,1,8,19,0,1,127,1,6,4,13,3,27,0,8,16,67,3,1,149,2,8,0,5,9,0,16,15,0,36,0,4,2,3,19,1,4,2,6,1,0,3,24,4,9,9,10,0,4,1,3,15,5,0,4,0,30,5,7,22
